cluster_min	score	zval
10	0.437916666667	1.0
20	0.436416666667	1.0
30	0.44075	1.0
40	0.439916666667	1.0
50	0.436833333333	1.0
60	0.436333333333	1.0
70	0.432916666667	1.0
80	0.4305	1.0
90	0.428666666667	1.0
100	0.425833333333	1.0
110	0.424583333333	1.0
120	0.4225	1.0
130	0.420833333333	1.0
140	0.415833333333	1.0
150	0.412916666667	1.0
160	0.407	1.0
170	0.40325	1.0
180	0.399916666667	1.0
190	0.397	1.0
200	0.396666666667	1.0
210	0.39325	1.0
220	0.390916666667	1.0
230	0.388666666667	1.0
240	0.38775	1.0
250	0.38575	1.0
260	0.384416666667	1.0
270	0.381916666667	1.0
280	0.37975	1.0
290	0.379333333333	1.0
300	0.37775	1.0
10	0.457166666667	1.1
20	0.459416666667	1.1
30	0.46	1.1
40	0.46175	1.1
50	0.464583333333	1.1
60	0.465666666667	1.1
70	0.463916666667	1.1
80	0.46675	1.1
90	0.464583333333	1.1
100	0.461666666667	1.1
110	0.460583333333	1.1
120	0.4595	1.1
130	0.458916666667	1.1
140	0.458166666667	1.1
150	0.457333333333	1.1
160	0.4565	1.1
170	0.457	1.1
180	0.45675	1.1
190	0.455666666667	1.1
200	0.453583333333	1.1
210	0.453083333333	1.1
220	0.452416666667	1.1
230	0.452	1.1
240	0.449833333333	1.1
250	0.449583333333	1.1
260	0.448	1.1
270	0.445916666667	1.1
280	0.4455	1.1
290	0.445333333333	1.1
300	0.44475	1.1
10	0.473833333333	1.2
20	0.47375	1.2
30	0.475166666667	1.2
40	0.4815	1.2
50	0.483416666667	1.2
60	0.489833333333	1.2
70	0.489416666667	1.2
80	0.491	1.2
90	0.494	1.2
100	0.497	1.2
110	0.49825	1.2
120	0.500083333333	1.2
130	0.500833333333	1.2
140	0.499416666667	1.2
150	0.49975	1.2
160	0.50025	1.2
170	0.4995	1.2
180	0.500666666667	1.2
190	0.5035	1.2
200	0.505916666667	1.2
210	0.505583333333	1.2
220	0.50525	1.2
230	0.505666666667	1.2
240	0.506	1.2
250	0.505166666667	1.2
260	0.505166666667	1.2
270	0.504416666667	1.2
280	0.503666666667	1.2
290	0.501916666667	1.2
300	0.50175	1.2
10	0.486666666667	1.3
20	0.495916666667	1.3
30	0.499166666667	1.3
40	0.506583333333	1.3
50	0.510916666667	1.3
60	0.511833333333	1.3
70	0.515583333333	1.3
80	0.520166666667	1.3
90	0.5225	1.3
100	0.52525	1.3
110	0.525666666667	1.3
120	0.52875	1.3
130	0.532416666667	1.3
140	0.532916666667	1.3
150	0.535416666667	1.3
160	0.536166666667	1.3
170	0.534833333333	1.3
180	0.53625	1.3
190	0.536	1.3
200	0.536916666667	1.3
210	0.537916666667	1.3
220	0.5375	1.3
230	0.536416666667	1.3
240	0.53675	1.3
250	0.53675	1.3
260	0.53675	1.3
270	0.5375	1.3
280	0.537083333333	1.3
290	0.537083333333	1.3
300	0.538083333333	1.3
10	0.500416666667	1.4
20	0.511583333333	1.4
30	0.520416666667	1.4
40	0.522583333333	1.4
50	0.526333333333	1.4
60	0.53125	1.4
70	0.537416666667	1.4
80	0.540416666667	1.4
90	0.543	1.4
100	0.543833333333	1.4
110	0.544833333333	1.4
120	0.549	1.4
130	0.550416666667	1.4
140	0.550833333333	1.4
150	0.55275	1.4
160	0.554083333333	1.4
170	0.556583333333	1.4
180	0.55825	1.4
190	0.5575	1.4
200	0.557916666667	1.4
210	0.556833333333	1.4
220	0.55675	1.4
230	0.55675	1.4
240	0.55725	1.4
250	0.559083333333	1.4
260	0.558333333333	1.4
270	0.556333333333	1.4
280	0.55675	1.4
290	0.556083333333	1.4
300	0.555083333333	1.4
10	0.51525	1.5
20	0.523416666667	1.5
30	0.531666666667	1.5
40	0.536	1.5
50	0.540416666667	1.5
60	0.542916666667	1.5
70	0.550083333333	1.5
80	0.553	1.5
90	0.555333333333	1.5
100	0.557	1.5
110	0.560583333333	1.5
120	0.56225	1.5
130	0.563583333333	1.5
140	0.564833333333	1.5
150	0.566666666667	1.5
160	0.565333333333	1.5
170	0.566166666667	1.5
180	0.565583333333	1.5
190	0.565916666667	1.5
200	0.565416666667	1.5
210	0.5655	1.5
220	0.565583333333	1.5
230	0.565833333333	1.5
240	0.56525	1.5
250	0.564666666667	1.5
260	0.560833333333	1.5
270	0.561	1.5
280	0.56	1.5
290	0.557583333333	1.5
300	0.556333333333	1.5
10	0.523666666667	1.6
20	0.5335	1.6
30	0.54425	1.6
40	0.552666666667	1.6
50	0.558916666667	1.6
60	0.5615	1.6
70	0.562666666667	1.6
80	0.565666666667	1.6
90	0.567333333333	1.6
100	0.569583333333	1.6
110	0.569666666667	1.6
120	0.571333333333	1.6
130	0.571166666667	1.6
140	0.569333333333	1.6
150	0.567916666667	1.6
160	0.566666666667	1.6
170	0.564416666667	1.6
180	0.563166666667	1.6
190	0.562333333333	1.6
200	0.561	1.6
210	0.559583333333	1.6
220	0.559	1.6
230	0.556583333333	1.6
240	0.555583333333	1.6
250	0.5525	1.6
260	0.547	1.6
270	0.544166666667	1.6
280	0.543666666667	1.6
290	0.542416666667	1.6
300	0.541666666667	1.6
10	0.53625	1.7
20	0.546916666667	1.7
30	0.561333333333	1.7
40	0.56525	1.7
50	0.56725	1.7
60	0.5675	1.7
70	0.568833333333	1.7
80	0.571666666667	1.7
90	0.570666666667	1.7
100	0.568916666667	1.7
110	0.565916666667	1.7
120	0.566583333333	1.7
130	0.563416666667	1.7
140	0.55875	1.7
150	0.556166666667	1.7
160	0.552333333333	1.7
170	0.551916666667	1.7
180	0.547583333333	1.7
190	0.543833333333	1.7
200	0.541583333333	1.7
210	0.537583333333	1.7
220	0.535333333333	1.7
230	0.534083333333	1.7
240	0.533083333333	1.7
250	0.530916666667	1.7
260	0.53175	1.7
270	0.531	1.7
280	0.531083333333	1.7
290	0.531416666667	1.7
300	0.5325	1.7
10	0.547333333333	1.8
20	0.560333333333	1.8
30	0.570416666667	1.8
40	0.572166666667	1.8
