StimuliImages,CorrAns1,TrialImages,CorrAns,Train_pos_neg.thisRepN,Train_pos_neg.thisTrialN,Train_pos_neg.thisN,Train_pos_neg.thisIndex,superloop.thisRepN,superloop.thisTrialN,superloop.thisN,superloop.thisIndex,superloop.thisTrial,Train_target_stimuli.thisRepN,Train_target_stimuli.thisTrialN,Train_target_stimuli.thisN,Train_target_stimuli.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,session,participant,frameRate,expName,date,order,
Nasty.jpg,l,,,0,0,0,9,,,,,,,,,,l,1,1.3587770462,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Agony.jpg,l,,,0,1,1,5,,,,,,,,,,l,1,1.21771001816,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Bad.jpg,l,,,0,2,2,1,,,,,,,,,,l,1,0.749451160431,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Love.jpg,a,,,0,3,3,6,,,,,,,,,,a,1,0.582345962524,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Happy.jpg,a,,,0,4,4,2,,,,,,,,,,a,1,0.599585056305,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Joy.jpg,a,,,0,5,5,8,,,,,,,,,,a,1,1.05050611496,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Hurt.jpg,l,,,0,6,6,3,,,,,,,,,,l,1,0.482538938522,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Pleasure.jpg,a,,,0,7,7,4,,,,,,,,,,a,1,0.868975162506,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Good.jpg,a,,,0,8,8,0,,,,,,,,,,a,1,0.749808073044,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
Evil.jpg,l,,,0,9,9,7,,,,,,,,,,l,1,0.899860143661,,,,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,0,0,4,,,,l,1,1.07089400291,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,1,1,8,,,,l,1,0.581103801727,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,2,2,1,,,,a,1,0.698066949844,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,3,3,5,,,,a,1,1.16595482826,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,4,4,6,,,,l,1,0.731610059738,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,5,5,0,,,,l,1,0.481313943863,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,6,6,3,,,,l,0,0.381031036377,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,7,7,7,,,,a,1,0.296896934509,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,8,8,2,,,,a,0,0.59779381752,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,9,9,9,,,,a,1,0.615271091461,001,1,59.9171734401,IAT-1.3,2015_Jul_15_1720,1,
